"Speaker","Date","word_sum","utterances","mlu"
"CHI","1965-09-20",1063,274,3.87956204379562
"CHI","1965-09-24",1106,307,3.60260586319218
"CHI","1965-10-01",874,280,3.12142857142857
"CHI","1965-10-08",766,256,2.9921875
"CHI","1965-10-15",839,245,3.42448979591837
"CHI","1965-10-29",1225,373,3.28418230563003
"CHI","1965-11-05",932,266,3.50375939849624
"CHI","1965-12-17",1065,282,3.77659574468085
"CHI","1965-12-18",755,286,2.63986013986014
"CHI","1965-12-27",913,287,3.18118466898955
"CHI","1965-12-31",884,260,3.4
"CHI","1966-01-07",940,265,3.54716981132075
"CHI","1966-01-14",1046,297,3.52188552188552
"CHI","1966-01-21",1381,338,4.08579881656805
"CHI","1966-01-28",874,254,3.44094488188976
"CHI","1966-02-04",1227,307,3.99674267100977
"CHI","1966-02-16",960,283,3.39222614840989
"CHI","1966-02-23",966,265,3.64528301886792
"CHI","1966-03-03",908,268,3.38805970149254
"CHI","1966-03-16",1034,258,4.0077519379845
"CHI","1966-03-30",913,285,3.20350877192982
"CHI","1966-04-06",966,260,3.71538461538462
"CHI","1966-05-04",993,271,3.66420664206642
"CHI","1966-05-11",558,168,3.32142857142857
"CHI","1966-05-18",1032,258,4
"CHI","1966-05-29",917,269,3.4089219330855
"CHI","1966-06-13",711,234,3.03846153846154
"CHI","1966-07-11",807,246,3.28048780487805
"CHI","1966-07-18",631,198,3.18686868686869
"CHI","1966-07-25",789,234,3.37179487179487
"CHI","1966-08-02",789,231,3.41558441558442
"CHI","1966-08-22",1115,284,3.92605633802817
"CHI","1966-08-29",652,210,3.1047619047619
"CHI",NA,19041,5988,3.17985971943888
"MOT","1963-06-04",591,184,3.21195652173913
"MOT","1963-10-28",269,102,2.63725490196078
"MOT","1963-10-30",757,286,2.64685314685315
"MOT","1963-11-11",591,179,3.30167597765363
"MOT","1963-11-14",529,151,3.50331125827815
"MOT","1963-11-18",795,231,3.44155844155844
"MOT","1963-11-20",1043,319,3.26959247648903
"MOT","1963-12-02",1475,416,3.54567307692308
"MOT","1963-12-04",1028,257,4
"MOT","1963-12-09",1175,291,4.03780068728522
"MOT","1963-12-11",442,117,3.77777777777778
"MOT","1963-12-18",857,216,3.96759259259259
"MOT","1963-12-31",1064,311,3.42122186495177
"MOT","1964-01-07",865,222,3.8963963963964
"MOT","1964-01-18",468,113,4.14159292035398
"MOT","1964-01-22",461,140,3.29285714285714
"MOT","1964-02-05",253,71,3.56338028169014
